Timestamp,Market Cap (USD),Coin
2024-10-22 00:00:00,1332326858574.4448,Bitcoin (BTC)
2024-10-23 00:00:00,1331426858508.4004,Bitcoin (BTC)
2024-10-24 00:00:00,1318285437546.2786,Bitcoin (BTC)
2024-10-25 00:00:00,1347888109010.5889,Bitcoin (BTC)
2024-10-26 00:00:00,1313975091942.221,Bitcoin (BTC)
2024-10-27 00:00:00,1325192118637.2595,Bitcoin (BTC)
2024-10-28 00:00:00,1343350549900.1233,Bitcoin (BTC)
2024-10-29 00:00:00,1380874923096.4146,Bitcoin (BTC)
2024-10-30 00:00:00,1439310420089.3665,Bitcoin (BTC)
2024-10-31 00:00:00,1431085552900.1965,Bitcoin (BTC)
2024-11-01 00:00:00,1390195908292.9321,Bitcoin (BTC)
2024-11-02 00:00:00,1374687306836.925,Bitcoin (BTC)
2024-11-03 00:00:00,1370516856365.7996,Bitcoin (BTC)
2024-11-04 00:00:00,1362302032218.0198,Bitcoin (BTC)
2024-11-05 00:00:00,1340192510479.9568,Bitcoin (BTC)
2024-11-06 00:00:00,1370963795352.6948,Bitcoin (BTC)
2024-11-07 00:00:00,1496392703840.9058,Bitcoin (BTC)
2024-11-08 00:00:00,1502620808927.6982,Bitcoin (BTC)
2024-11-09 00:00:00,1514048743889.1255,Bitcoin (BTC)
2024-11-10 00:00:00,1519470275068.1016,Bitcoin (BTC)
2024-11-11 00:00:00,1590846468754.067,Bitcoin (BTC)
2024-11-12 00:00:00,1756619702929.0437,Bitcoin (BTC)
2024-11-13 00:00:00,1741113172482.1243,Bitcoin (BTC)
2024-11-13 00:40:38,1751511820261.1365,Bitcoin (BTC)
2023-11-15 00:00:00,238322049371.81366,Ethereum (ETH)
2023-11-16 00:00:00,247252247163.20584,Ethereum (ETH)
2023-11-17 00:00:00,235765269163.39795,Ethereum (ETH)
2023-11-18 00:00:00,235552986140.5357,Ethereum (ETH)
2023-11-19 00:00:00,236086751710.85898,Ethereum (ETH)
2023-11-20 00:00:00,242034207822.1622,Ethereum (ETH)
2023-11-21 00:00:00,243006229904.03055,Ethereum (ETH)
2023-11-22 00:00:00,233744228838.17505,Ethereum (ETH)
2023-11-23 00:00:00,248555178589.68716,Ethereum (ETH)
2023-11-24 00:00:00,247876188093.7795,Ethereum (ETH)
2023-11-25 00:00:00,250091072371.2108,Ethereum (ETH)
2023-11-26 00:00:00,250789193104.93494,Ethereum (ETH)
2023-11-27 00:00:00,248377596959.20486,Ethereum (ETH)
2023-11-28 00:00:00,243720423942.89383,Ethereum (ETH)
2023-11-29 00:00:00,246262800348.0733,Ethereum (ETH)
2023-11-30 00:00:00,244001473817.2662,Ethereum (ETH)
2023-12-01 00:00:00,246848217845.14642,Ethereum (ETH)
2023-12-02 00:00:00,250640652575.93158,Ethereum (ETH)
2023-12-03 00:00:00,260240551667.01883,Ethereum (ETH)
2023-12-04 00:00:00,263980793708.9081,Ethereum (ETH)
2023-12-05 00:00:00,269584983992.8464,Ethereum (ETH)
2023-12-06 00:00:00,275703016277.70374,Ethereum (ETH)
2023-12-07 00:00:00,268795534917.09488,Ethereum (ETH)
2023-12-08 00:00:00,283213143190.7205,Ethereum (ETH)
2023-12-09 00:00:00,283054038646.35785,Ethereum (ETH)
2023-12-10 00:00:00,281067496144.66614,Ethereum (ETH)
2023-12-11 00:00:00,282723216106.4694,Ethereum (ETH)
2023-12-12 00:00:00,267009290987.55844,Ethereum (ETH)
2023-12-13 00:00:00,264706953102.87967,Ethereum (ETH)
2023-12-14 00:00:00,271717710927.89438,Ethereum (ETH)
2023-12-15 00:00:00,278468385078.2856,Ethereum (ETH)
2023-12-16 00:00:00,267126085639.7962,Ethereum (ETH)
2023-12-17 00:00:00,267401843617.0704,Ethereum (ETH)
2023-12-18 00:00:00,264433892856.22266,Ethereum (ETH)
2023-12-19 00:00:00,266320508900.2563,Ethereum (ETH)
2023-12-20 00:00:00,261622480885.4028,Ethereum (ETH)
2023-12-21 00:00:00,264119934496.6169,Ethereum (ETH)
2023-12-22 00:00:00,268661930922.99802,Ethereum (ETH)
2023-12-23 00:00:00,279870641392.9921,Ethereum (ETH)
2023-12-24 00:00:00,278079278701.17706,Ethereum (ETH)
2023-12-25 00:00:00,272522653481.91702,Ethereum (ETH)
2023-12-26 00:00:00,273465660867.21106,Ethereum (ETH)
2023-12-27 00:00:00,268089393468.35114,Ethereum (ETH)
2023-12-28 00:00:00,285529301721.8697,Ethereum (ETH)
2023-12-29 00:00:00,282759891474.44507,Ethereum (ETH)
2023-12-30 00:00:00,275996795853.5979,Ethereum (ETH)
2023-12-31 00:00:00,275712397143.1602,Ethereum (ETH)
2024-01-01 00:00:00,274292310008.21802,Ethereum (ETH)
2024-01-02 00:00:00,282101525979.4972,Ethereum (ETH)
2024-01-03 00:00:00,282763246110.9591,Ethereum (ETH)
2024-01-04 00:00:00,265547288684.8233,Ethereum (ETH)
